name,size_mb,size_bytes,extension,detected_type,last_modified
.gitignore,0.0,422,,unknown,2026-06-18T11:36:39
DECISIONS.md,0.0,934,.md,unknown,2026-06-18T11:31:47
gxvcqtpl_zorritasmexicanaclon.sql,1322.01,1386225455,.sql,wordpress_sql_dump,2026-06-18T11:15:34
kingtube.tar.gz,1.13,1187613,.gz,theme_archive,2026-06-18T11:13:17
MIGRATION_PLAN.md,0.0,1086,.md,unknown,2026-06-18T11:31:47
PROJECT_STATUS.md,0.0,1998,.md,unknown,2026-06-18T11:36:39
RUNBOOK.md,0.0,694,.md,unknown,2026-06-18T11:31:47
uploads.tar.gz,1081.09,1133601629,.gz,uploads_archive,2026-06-18T11:10:10
zorritasmexicanascom.WordPress.2026-06-18.xml,69.92,73311842,.xml,wordpress_wxr_export,2026-06-18T11:03:02
